Team,GF,GA,Sh,SoT,Dist,FK,PK,PKatt,GF_rolling,GA_rolling,Sh_rolling,SoT_rolling,Dist_rolling,FK_rolling,PK_rolling,PKatt_rolling
Leicester City,2,1,13.0,4.0,17.5,0.0,0,0,1.0,2.6666666666666665,7.0,4.0,15.1,0.6666666666666666,0.3333333333333333,0.6666666666666666
Leeds United,1,4,19.0,2.0,15.8,0.0,0,0,1.3333333333333333,2.3333333333333335,8.0,2.6666666666666665,14.199999999999998,0.0,0.0,0.3333333333333333
Southampton,4,4,15.0,10.0,17.5,1.0,0,0,1.3333333333333333,3.0,9.333333333333334,2.0,17.333333333333336,0.3333333333333333,0.3333333333333333,0.3333333333333333
Newcastle United,4,2,12.0,7.0,15.4,2.0,0,0,2.3333333333333335,1.6666666666666667,20.333333333333332,8.0,15.999999999999998,0.3333333333333333,0.0,0.3333333333333333
Arsenal,2,1,26.0,5.0,14.1,0.0,0,0,2.3333333333333335,0.6666666666666666,14.666666666666666,5.333333333333333,13.900000000000004,0.3333333333333333,0.3333333333333333,0.3333333333333333
Chelsea,2,1,16.0,6.0,18.2,0.0,0,0,3.3333333333333335,1.0,17.0,8.333333333333334,16.000000000000004,1.3333333333333333,0.0,0.0
Luton Town,2,4,14.0,5.0,19.3,2.0,1,1,1.0,2.0,10.333333333333334,4.0,16.100000000000005,0.0,0.0,0.0
Manchester United,2,0,11.0,4.0,17.0,0.0,0,0,1.0,2.3333333333333335,12.666666666666666,4.0,18.266666666666666,0.3333333333333333,0.0,0.0
Tottenham Hotspur,3,0,18.0,9.0,14.4,1.0,0,0,1.3333333333333333,2.3333333333333335,14.0,6.666666666666667,17.533333333333335,0.3333333333333333,0.0,0.0
Brentford,2,4,10.0,5.0,15.9,1.0,0,0,0.6666666666666666,0.6666666666666666,9.333333333333334,3.3333333333333335,15.066666666666668,0.0,0.0,0.0
Crystal Palace,5,0,15.0,9.0,16.8,0.0,0,0,2.6666666666666665,0.6666666666666666,15.0,5.666666666666667,16.7,0.0,0.0,0.0
Nottingham Forest,2,1,12.0,6.0,17.2,0.0,0,0,1.6666666666666667,2.0,16.333333333333332,3.3333333333333335,16.46666666666667,0.3333333333333333,0.0,0.0
Fulham,4,2,16.0,8.0,21.6,2.0,0,0,0.3333333333333333,1.6666666666666667,8.333333333333334,2.0,13.966666666666669,0.0,0.0,0.0
Everton,1,2,5.0,2.0,20.3,2.0,0,0,1.0,0.3333333333333333,14.0,3.0,18.299999999999997,0.3333333333333333,0.3333333333333333,0.3333333333333333
Liverpool,2,0,36.0,13.0,14.8,0.0,0,0,3.0,2.3333333333333335,22.333333333333332,9.0,16.33333333333334,0.3333333333333333,0.0,0.0
Burnley,1,2,20.0,3.0,22.4,1.0,0,0,1.0,2.3333333333333335,13.0,4.666666666666667,16.433333333333334,0.3333333333333333,0.3333333333333333,0.3333333333333333
Manchester City,3,1,28.0,12.0,17.9,2.0,0,0,3.6666666666666665,0.3333333333333333,13.333333333333334,7.333333333333333,15.799999999999997,0.0,1.3333333333333333,1.3333333333333333
Aston Villa,0,5,8.0,2.0,13.8,0.0,0,0,1.6666666666666667,2.0,10.0,3.3333333333333335,17.799999999999997,0.0,0.0,0.0
Sheffield United,0,3,6.0,1.0,18.0,1.0,0,0,0.6666666666666666,3.0,14.666666666666666,3.0,17.5,0.0,0.3333333333333333,0.3333333333333333
Bournemouth,1,2,22.0,5.0,16.8,0.0,0,0,1.3333333333333333,1.6666666666666667,11.666666666666666,4.0,17.299999999999997,0.6666666666666666,0.0,0.0
West Ham United,1,3,3.0,2.0,10.3,0.0,0,0,1.6666666666666667,2.6666666666666665,16.0,6.0,17.033333333333335,1.0,0.0,0.0
Brighton and Hove Albion,0,2,17.0,2.0,14.2,0.0,0,0,1.0,1.0,13.666666666666666,4.333333333333333,15.933333333333332,0.0,0.0,0.3333333333333333
Wolverhampton Wanderers,0,2,4.0,2.0,19.0,1.0,0,0,1.3333333333333333,3.0,9.666666666666666,4.666666666666667,14.133333333333333,0.0,0.0,0.0
